noun,Eventive_1,Eventive_2,Pluralia Tantum_1,Pluralia Tantum_2,Animate/Inanimate_1,Animate/Inanimate_2,Animate/Inanimate_3,Collective_1,Collective_2,Common_1,Common_2,Count_1,Count_2,Mass_1,Mass_2,total_score
spectrograph,0.93,0.79,0.95,0.96,0.73,-0.89,-0.94,0.81,-0.93,0.98,0.94,0.94,0.93,-0.72,-0.79,0.36
spectrum,0.53,0.52,0.70,0.92,-0.85,-0.96,-0.92,0.86,-0.73,0.98,0.70,0.97,0.96,0.95,-0.85,0.34
speculation,0.93,0.98,-0.72,0.88,0.70,-0.96,-0.96,0.52,-0.86,0.97,0.80,0.92,0.91,0.91,-0.82,0.33
speech,0.90,0.97,0.79,0.96,0.61,-0.95,-0.97,-0.55,-0.86,0.97,0.81,0.88,0.87,0.93,-0.90,0.35
speed,-0.52,0.87,-0.72,0.96,-0.95,-0.96,-0.97,-0.78,-0.94,0.97,0.88,0.94,0.96,0.87,-0.85,0.05
speedboat,0.89,-0.78,0.93,0.96,-0.80,0.68,0.57,0.93,-0.65,0.97,0.93,0.93,0.82,-0.65,-0.68,0.35
spell,0.92,0.97,0.95,0.97,0.90,-0.97,-0.96,-0.64,-0.90,0.98,0.89,0.86,0.96,0.83,-0.85,0.37
spelling,0.93,0.97,-0.65,0.94,-0.65,-0.96,-0.96,-0.71,-0.84,0.98,0.86,0.94,0.92,0.94,-0.84,0.20
spelt,0.64,0.92,-0.60,0.95,-0.84,-0.95,-0.78,0.53,-0.78,0.92,0.82,0.91,0.94,0.85,-0.64,0.27
spending,0.87,0.98,-0.95,-0.63,-0.89,-0.97,-0.96,-0.72,-0.94,0.97,0.69,0.54,0.93,0.94,-0.86,-0.00
sphere,0.57,-0.63,0.88,0.96,-0.66,-0.96,-0.93,0.83,-0.94,0.98,0.83,0.92,0.96,0.77,-0.78,0.26
sphynx,0.90,0.97,0.89,0.96,0.62,0.92,0.84,0.96,0.96,0.96,0.79,0.94,0.86,0.65,0.89,0.88
spice,0.89,0.96,0.88,0.96,0.95,-0.93,-0.96,-0.59,-0.75,0.98,0.93,0.96,0.97,0.98,-0.85,0.41
spider,0.64,0.70,0.93,0.96,0.95,0.94,-0.67,0.87,-0.89,0.96,0.82,0.89,0.94,0.87,-0.51,0.57
spiderling,0.59,0.93,0.90,0.95,0.91,0.76,0.53,0.91,-0.71,0.90,0.84,0.88,0.90,0.92,-0.75,0.62
spike,0.91,0.98,0.80,0.97,-0.57,-0.96,-0.94,-0.69,-0.87,0.98,0.86,0.92,0.96,0.67,-0.64,0.30
spill,0.91,0.98,0.83,0.96,-0.90,-0.97,-0.95,-0.77,-0.87,0.96,0.87,0.87,0.96,0.61,-0.84,0.26
spinach,0.93,0.57,0.56,0.91,0.55,-0.95,-0.92,-0.70,-0.78,0.97,0.78,0.90,0.77,0.98,-0.92,0.29
spine,0.63,-0.55,0.83,0.89,0.85,-0.91,-0.92,0.77,-0.78,0.94,0.88,0.93,0.95,0.86,-0.74,0.35
spiral,0.67,0.97,0.72,0.95,-0.88,-0.97,-0.94,0.86,-0.89,0.98,0.80,0.96,0.95,-0.58,-0.69,0.27
spirit,-0.81,-0.86,0.70,0.85,0.95,0.92,0.96,0.92,-0.76,0.86,0.83,0.93,0.87,0.71,-0.92,0.37
spiritual,0.50,0.79,-0.85,0.59,0.67,-0.80,0.70,-0.66,0.81,0.61,-0.53,0.66,0.94,-0.79,-0.91,0.11
spirituality,0.82,0.97,-0.56,0.61,-0.52,-0.97,-0.96,0.87,-0.79,0.94,0.65,0.92,0.96,0.93,-0.84,0.27
spit,0.59,0.95,-0.60,0.95,-0.73,-0.96,-0.96,-0.66,-0.74,0.96,0.77,0.92,0.95,0.96,-0.85,0.17
spite,-0.54,0.97,-0.61,0.91,-0.68,-0.96,-0.95,-0.80,-0.72,0.94,0.74,0.82,0.97,0.93,-0.81,0.08
spleen,0.66,0.65,0.84,0.95,0.79,-0.88,-0.85,0.73,-0.73,0.94,0.76,0.96,0.95,0.87,-0.84,0.44
splendor,0.94,0.98,-0.53,0.88,-0.64,-0.95,-0.95,0.64,-0.74,0.96,0.82,0.96,0.94,0.96,-0.92,0.30
split,0.91,0.98,0.76,0.96,-0.95,-0.96,-0.93,0.75,-0.90,0.98,0.83,0.94,0.96,-0.89,-0.87,0.25
spokesman,-0.65,-0.81,-0.52,0.77,0.92,0.96,0.95,0.57,-0.91,0.94,0.60,0.82,-0.73,-0.92,-0.82,0.02
spokeswoman,-0.69,-0.79,0.70,0.62,0.91,0.95,0.96,-0.50,-0.96,0.94,0.64,0.84,-0.57,-0.91,-0.77,0.03
sponge,0.68,-0.75,0.94,0.97,0.93,0.55,0.79,0.66,-0.93,0.98,0.93,0.96,0.90,0.92,-0.87,0.49
sponsor,0.51,-0.83,0.81,0.94,0.86,0.95,0.96,0.84,-0.89,0.89,0.73,0.95,0.71,-0.74,-0.88,0.35
sponsorship,0.89,0.98,0.59,0.95,-0.73,-0.95,-0.94,0.68,-0.78,0.98,0.86,0.93,0.88,0.89,-0.89,0.37
spool,0.81,0.59,-0.59,0.96,-0.73,-0.93,-0.94,0.86,-0.91,0.97,0.90,0.91,0.94,0.78,-0.73,0.27
spoon,0.66,-0.74,0.91,0.97,0.82,-0.95,-0.96,-0.72,-0.95,0.97,0.92,0.93,0.93,0.87,-0.82,0.23
spork,0.59,0.61,0.90,0.97,0.84,0.55,-0.51,0.74,-0.87,0.97,0.87,0.94,0.93,0.91,-0.75,0.53
sport,0.85,0.97,0.80,0.92,-0.62,-0.95,-0.97,0.79,-0.78,0.97,0.85,0.95,0.95,0.92,-0.85,0.40
sportsman,-0.86,-0.86,0.93,0.88,0.69,0.96,0.95,0.54,-0.86,0.77,0.70,0.90,0.53,-0.71,-0.67,0.22
spot,0.54,0.93,0.50,0.93,-0.97,-0.96,-0.97,-0.55,-0.94,0.96,0.79,0.96,0.96,0.57,-0.86,0.20
spotlight,-0.54,-0.63,-0.51,0.90,0.80,-0.95,-0.96,-0.63,-0.95,0.95,0.66,0.95,0.57,0.82,-0.89,-0.00
spouse,0.56,-0.89,0.94,0.95,0.92,0.96,0.97,0.63,-0.87,0.88,0.54,0.88,0.89,0.94,-0.85,0.46
sprag,0.66,0.83,0.73,0.97,0.52,-0.56,-0.74,0.79,0.56,0.96,0.83,0.89,0.92,0.94,-0.73,0.56
sprat,0.83,0.93,0.77,0.97,0.56,-0.55,-0.87,0.81,0.68,0.97,0.87,0.93,0.90,0.91,-0.74,0.59
spray,0.90,0.97,0.89,0.96,0.88,-0.96,-0.96,-0.73,-0.83,0.98,0.84,0.91,0.94,0.97,-0.91,0.37
spread,0.83,0.98,0.84,0.94,-0.96,-0.96,-0.96,0.82,-0.94,0.97,0.81,0.93,0.92,-0.88,-0.86,0.25
spreadsheet,0.80,0.94,0.96,0.96,0.75,-0.93,-0.94,0.90,-0.92,0.98,0.90,0.88,0.79,0.94,-0.85,0.47
spree,0.93,0.97,0.90,0.96,-0.70,-0.97,-0.96,0.72,-0.91,0.94,0.86,0.92,0.91,-0.69,-0.78,0.28
spring,0.91,0.97,0.64,0.95,0.82,-0.96,-0.79,-0.57,-0.86,0.96,0.71,0.93,0.95,0.80,-0.91,0.35
sprinkles,0.85,0.95,-0.75,0.73,-0.92,-0.96,-0.96,-0.77,0.94,-0.89,0.59,0.67,-0.65,-0.91,0.82,-0.02
sprinter,0.87,-0.76,0.92,0.95,0.91,0.96,0.95,0.72,-0.87,0.95,0.78,0.90,0.73,-0.71,-0.77,0.40
sprout,0.86,0.94,0.77,0.96,0.60,0.81,-0.80,0.52,-0.63,0.97,0.87,0.91,0.93,0.88,-0.72,0.55
spruce,0.83,0.63,0.76,0.95,0.66,-0.80,-0.73,0.56,-0.62,0.91,0.81,0.95,0.70,0.93,0.72,0.54
spud,0.78,0.78,0.89,0.96,0.66,0.83,0.70,0.90,-0.62,0.97,0.80,0.93,0.91,0.85,-0.68,0.64
spume,0.68,0.75,0.79,0.96,0.84,-0.91,-0.74,0.89,-0.68,0.94,0.88,0.88,0.97,0.69,-0.73,0.46
spur,-0.56,0.96,-0.76,0.95,-0.80,-0.96,-0.92,0.83,-0.88,0.97,0.78,0.92,0.95,0.64,-0.59,0.17
spy,-0.57,0.88,0.94,0.95,0.93,0.97,0.95,0.57,-0.96,0.97,0.70,0.93,0.75,0.66,-0.88,0.49
spyglass,0.59,-0.50,0.89,0.95,-0.68,-0.93,-0.94,-0.71,-0.94,0.97,0.82,0.90,0.94,0.84,-0.75,0.16
square,-0.62,-0.84,-0.53,0.93,-0.94,-0.96,-0.96,-0.65,-0.90,0.95,0.83,0.92,0.96,-0.58,-0.84,-0.16
squash,0.88,0.93,0.77,0.96,0.64,-0.90,-0.93,0.50,-0.58,0.97,0.86,0.95,0.94,0.97,-0.83,0.47
squatter,-0.69,0.96,0.94,0.95,0.58,0.96,0.93,0.93,-0.69,0.93,0.72,0.96,0.63,-0.53,-0.77,0.43
squeegee,0.77,0.75,0.91,0.97,-0.67,-0.91,-0.95,-0.57,-0.94,0.97,0.89,0.91,0.88,0.79,-0.77,0.28
squid,0.79,0.80,0.92,0.96,0.94,0.56,0.73,0.87,0.97,0.95,0.76,0.96,0.92,0.93,0.89,0.87
squirrel,0.57,-0.65,0.91,0.94,0.95,0.95,0.82,0.84,-0.90,0.96,0.81,0.91,0.81,0.77,-0.63,0.51
stab,0.76,0.97,0.62,0.97,-0.93,-0.97,-0.95,-0.64,-0.85,0.96,0.71,0.89,0.92,-0.70,-0.82,0.13
stability,0.72,0.94,-0.79,-0.71,-0.93,-0.96,-0.96,-0.70,-0.91,0.94,0.62,0.89,0.96,0.88,-0.78,0.01
stable,0.58,0.80,0.59,0.94,-0.95,-0.96,-0.85,0.96,0.85,0.96,0.71,0.95,0.92,-0.88,-0.85,0.34
stack,-0.63,-0.61,0.84,0.93,-0.91,-0.96,-0.94,0.94,-0.82,0.98,0.86,0.88,0.95,0.69,-0.82,0.17
stacking,0.84,0.98,-0.92,-0.74,-0.95,-0.97,-0.93,0.52,-0.88,0.96,0.69,0.86,0.90,0.92,-0.82,0.10
stadium,0.50,-0.89,0.83,0.92,-0.94,-0.92,-0.92,-0.73,-0.78,0.96,0.86,0.93,0.86,-0.67,-0.85,0.01
staff,0.59,-0.91,-0.66,0.69,-0.91,0.86,0.97,0.94,0.97,0.73,-0.63,0.81,0.72,-0.95,0.78,0.26
stag,0.60,0.93,0.89,0.97,0.93,0.95,0.96,0.94,0.61,0.97,0.84,0.97,0.85,0.85,-0.80,0.75
stage,-0.56,-0.69,0.83,0.94,-0.71,-0.96,-0.84,0.59,-0.94,0.98,0.83,0.94,0.97,-0.58,-0.86,0.05
stain,0.65,0.97,0.80,0.97,0.96,-0.96,-0.96,-0.75,-0.91,0.98,0.92,0.92,0.96,0.95,-0.83,0.36
stair,-0.55,-0.63,0.58,0.93,-0.93,-0.97,-0.95,-0.69,-0.90,0.94,0.84,0.93,0.70,0.56,-0.84,-0.00
staircase,0.75,-0.59,0.81,0.94,-0.67,-0.97,-0.96,0.52,-0.91,0.97,0.94,0.96,0.92,0.75,-0.85,0.25
stake,-0.69,0.65,-0.69,0.91,-0.66,-0.97,-0.93,0.71,-0.74,0.94,0.69,0.95,0.93,0.62,-0.84,0.12
stalk,-0.66,0.93,-0.62,0.93,-0.77,-0.94,-0.92,0.69,-0.87,0.93,0.66,0.91,0.94,0.53,-0.83,0.13
stall,-0.57,0.95,0.81,0.97,-0.95,-0.92,-0.96,0.65,-0.84,0.97,0.91,0.91,0.80,-0.71,-0.83,0.15
stallion,0.61,-0.67,0.86,0.94,0.85,0.95,0.96,0.65,-0.69,0.96,0.76,0.93,0.71,-0.55,0.68,0.50
stamen,0.89,-0.55,-0.70,0.95,-0.95,-0.72,-0.67,0.89,0.97,0.60,0.73,0.96,0.97,-0.78,0.89,0.30
stamina,-0.56,-0.55,-0.80,-0.78,-0.85,-0.97,-0.96,-0.86,-0.93,0.92,0.60,0.55,0.94,0.92,-0.81,-0.23
stamp,0.92,0.80,0.93,0.97,0.85,-0.93,-0.95,-0.54,-0.94,0.98,0.93,0.91,0.91,0.89,-0.88,0.37
stance,0.68,0.85,-0.52,0.93,-0.75,-0.96,-0.96,0.54,-0.83,0.97,0.84,0.89,0.94,-0.59,-0.79,0.15
stand,0.69,0.94,-0.78,0.90,-0.96,-0.96,-0.96,0.89,-0.90,0.97,0.63,0.87,0.70,-0.96,-0.87,0.08
standard,-0.50,0.66,0.69,0.95,-0.70,-0.95,-0.92,0.87,-0.88,0.97,0.84,0.95,0.95,0.63,-0.81,0.26
standardisation,0.92,0.98,-0.51,0.86,-0.88,-0.97,-0.96,0.59,-0.89,0.97,0.73,0.96,0.96,0.79,-0.84,0.26
standardization,0.91,0.98,-0.50,0.89,-0.70,-0.97,-0.96,0.62,-0.89,0.97,0.76,0.95,0.95,0.87,-0.83,0.28
standing,-0.53,0.89,-0.95,-0.57,-0.94,-0.96,-0.95,0.52,-0.90,0.78,-0.51,0.73,0.84,-0.68,-0.88,-0.23
standoff,0.87,0.98,0.90,0.96,-0.81,-0.97,-0.96,0.52,-0.93,0.95,0.88,0.96,0.90,-0.68,-0.89,0.26
standpoint,-0.89,0.74,-0.77,0.61,-0.95,-0.96,-0.91,0.51,-0.78,0.70,-0.57,0.84,0.94,-0.77,-0.73,-0.15
star,-0.74,-0.70,0.64,0.91,0.86,0.97,0.95,0.76,-0.95,0.95,0.68,0.92,0.93,0.61,-0.89,0.36
starboard,-0.62,-0.74,0.50,0.90,-0.76,-0.95,-0.89,0.93,-0.87,0.93,0.86,0.96,0.91,-0.53,-0.86,0.05
start,0.70,0.94,0.71,0.94,-0.95,-0.96,-0.95,-0.55,-0.84,0.93,0.72,0.84,0.85,-0.72,-0.85,0.13
starter,-0.64,-0.70,0.78,0.94,0.77,0.95,-0.72,0.94,-0.86,0.97,0.76,0.76,0.87,-0.65,-0.84,0.21
state,-0.70,-0.93,0.64,0.91,-0.94,0.56,0.66,-0.52,0.62,0.96,-0.59,0.95,0.92,-0.62,-0.86,0.07
statement,0.83,0.97,0.66,0.96,0.77,-0.96,-0.96,0.53,-0.95,0.98,0.84,0.88,0.91,0.91,-0.87,0.42
statin,0.73,0.86,0.61,0.96,0.63,0.73,-0.93,0.96,0.51,0.98,0.77,0.94,0.96,0.76,-0.61,0.62
station,-0.73,-0.76,0.53,0.94,-0.96,-0.86,-0.57,0.61,-0.77,0.98,0.82,0.92,0.77,-0.87,-0.77,0.01
station-wagon,0.82,-0.64,0.90,0.94,-0.91,-0.71,-0.74,0.86,-0.70,0.96,0.85,0.94,0.71,-0.72,-0.72,0.19
statistic,-0.65,0.96,0.87,0.96,-0.55,-0.95,-0.94,-0.53,-0.94,0.98,0.93,0.95,0.97,0.93,-0.89,0.21
statistics,0.70,0.95,-0.89,-0.66,-0.95,-0.97,-0.96,-0.74,-0.54,-0.88,0.61,0.59,0.53,-0.95,0.74,-0.18
statue,-0.57,-0.83,0.63,0.95,0.90,-0.70,-0.58,0.62,-0.94,0.98,0.88,0.84,0.91,0.80,-0.85,0.23
status,0.60,0.84,0.51,0.91,-0.86,-0.96,-0.96,0.59,-0.92,0.97,0.77,0.97,0.97,0.85,-0.84,0.31
statute,0.58,0.96,0.78,0.94,0.88,-0.96,-0.96,0.68,-0.92,0.98,0.85,0.94,0.96,0.89,-0.86,0.43
stay,0.95,0.98,-0.64,0.96,-0.96,-0.97,-0.96,0.64,-0.96,0.97,0.63,0.76,0.89,-0.93,-0.93,0.10
steak,0.90,0.97,0.88,0.97,0.91,-0.95,-0.93,-0.72,-0.93,0.98,0.91,0.83,0.93,0.98,-0.91,0.37
stealth,0.67,0.97,0.57,0.81,-0.94,-0.97,-0.95,-0.60,-0.92,0.96,0.72,0.93,0.87,0.81,-0.81,0.22
steam,0.84,0.88,-0.57,0.87,0.84,-0.96,-0.96,-0.64,-0.83,0.98,0.71,0.94,0.95,0.98,-0.90,0.25
steamroller,0.87,-0.77,0.88,0.96,-0.86,-0.55,-0.88,0.76,-0.93,0.97,0.92,0.90,0.73,0.65,-0.86,0.25
steel,0.73,-0.69,-0.72,0.83,0.56,-0.96,-0.95,-0.80,-0.68,0.98,0.78,0.92,0.95,0.97,-0.94,0.10
steeple,0.85,0.95,0.89,0.95,-0.56,-0.93,-0.95,0.70,-0.85,0.97,0.92,0.95,0.93,0.68,-0.79,0.40
stem,0.71,-0.64,0.80,0.95,0.89,-0.95,-0.86,0.94,-0.83,0.97,0.75,0.85,0.95,0.87,-0.80,0.35
stench,0.53,0.84,0.89,0.85,0.75,-0.96,-0.96,-0.80,-0.87,0.93,0.86,0.85,0.94,0.97,-0.95,0.30
stencil,0.70,-0.58,0.89,0.95,0.83,-0.94,-0.92,-0.59,-0.92,0.98,0.85,0.90,0.82,0.66,-0.85,0.22
step,0.74,0.97,-0.59,0.97,-0.96,-0.97,-0.96,0.53,-0.95,0.98,0.86,0.96,0.97,0.80,-0.80,0.25
step-aunt,0.76,0.92,-0.52,0.84,-0.56,-0.75,-0.50,0.82,-0.81,0.86,0.74,0.91,0.69,-0.83,-0.50,0.19
step-brother,0.75,-0.69,0.71,0.96,0.87,0.95,0.95,0.52,-0.78,0.92,0.64,0.94,0.73,0.56,-0.57,0.47
step-daughter,0.91,-0.66,0.83,0.96,0.87,0.97,0.97,0.53,-0.68,0.91,0.57,0.94,0.79,0.66,-0.68,0.50
step-father,0.70,-0.85,0.79,0.95,0.73,0.96,0.95,0.55,-0.92,0.89,0.59,0.96,0.69,-0.59,-0.61,0.35
step-grandfather,0.70,-0.82,0.69,0.94,0.76,0.96,0.95,0.56,-0.92,0.82,0.61,0.95,0.76,-0.56,-0.64,0.35
step-grandmother,0.69,-0.78,0.76,0.92,0.75,0.96,0.96,0.67,-0.87,0.84,0.60,0.94,0.83,-0.56,-0.65,0.37
step-mother,0.76,-0.82,0.84,0.94,0.81,0.97,0.97,0.62,-0.88,0.87,0.59,0.94,0.79,-0.61,-0.62,0.37
step-sister,0.74,0.57,0.79,0.93,0.88,0.96,0.96,0.69,-0.88,0.92,0.57,0.94,0.80,-0.65,-0.64,0.47
step-son,0.86,-0.63,0.79,0.93,0.84,0.96,0.96,0.51,-0.85,0.90,0.60,0.93,0.91,-0.65,-0.69,0.39
step-uncle,0.84,-0.53,0.85,0.93,0.86,0.95,0.95,0.64,-0.86,0.93,0.64,0.94,0.92,-0.59,-0.76,0.41
stepdaughter,0.86,-0.78,0.84,0.96,0.87,0.96,0.97,-0.55,-0.77,0.95,0.54,0.91,0.82,0.59,-0.80,0.39
stepmother,0.65,-0.87,0.84,0.92,0.78,0.96,0.96,0.59,-0.92,0.86,0.54,0.92,0.77,-0.81,-0.60,0.34
stepping-stone,0.61,0.92,0.88,0.95,-0.75,-0.95,-0.93,0.82,-0.91,0.95,0.88,0.90,0.95,0.89,-0.55,0.40
stepson,0.73,-0.73,0.71,0.95,0.86,0.95,0.96,-0.54,-0.90,0.93,0.56,0.94,0.89,-0.82,-0.71,0.28
stereo,0.91,0.79,0.83,0.95,-0.67,-0.90,-0.96,0.92,-0.87,0.98,0.94,0.94,0.96,0.74,-0.72,0.41
stew,0.92,0.96,0.75,0.96,-0.69,-0.96,-0.96,-0.57,-0.92,0.98,0.89,0.94,0.92,0.98,-0.84,0.30
steward,0.57,-0.88,0.75,0.94,0.93,0.97,0.87,0.86,-0.95,0.95,0.60,0.92,0.54,-0.93,-0.85,0.31
stick,0.73,-0.76,0.79,0.95,-0.75,-0.94,-0.97,-0.65,-0.94,0.97,0.85,0.88,0.90,0.82,-0.87,0.14
sticker,0.69,0.61,0.86,0.97,0.81,-0.92,-0.96,-0.58,-0.92,0.98,0.92,0.92,0.87,0.91,-0.86,0.33
stiletto,0.74,0.51,0.95,0.95,-0.85,-0.96,-0.95,-0.60,-0.90,0.95,0.85,0.96,0.76,-0.61,-0.78,0.14
still,-0.83,-0.73,-0.65,0.62,-0.78,-0.96,-0.82,-0.51,-0.90,-0.58,-0.67,0.84,0.91,-0.80,0.75,-0.30
stimulation,0.96,0.98,-0.72,0.94,0.51,-0.97,-0.96,-0.67,-0.88,0.98,0.75,0.95,0.88,0.92,-0.89,0.23
stimulus,0.85,0.98,0.84,0.96,0.84,-0.96,-0.95,-0.79,-0.90,0.98,0.75,0.95,0.97,0.97,-0.90,0.35
sting,0.84,0.98,0.52,0.96,-0.73,-0.97,-0.96,-0.75,-0.88,0.97,0.83,0.90,0.94,0.85,-0.79,0.26
stinger,0.88,0.80,0.87,0.97,0.57,0.85,-0.89,0.88,-0.92,0.98,0.89,0.96,0.89,0.69,-0.85,0.53
stir-fry,0.97,0.98,0.92,0.97,-0.78,-0.96,-0.95,-0.54,-0.75,0.98,0.91,0.94,0.72,0.97,-0.76,0.32
stitch,0.78,0.98,0.76,0.97,0.80,-0.96,-0.94,-0.66,-0.82,0.98,0.93,0.93,0.96,0.95,-0.90,0.37
stitcher,0.88,-0.70,0.95,0.96,0.95,0.96,0.94,0.92,-0.68,0.97,0.75,0.93,0.58,-0.57,-0.56,0.45
stock,-0.59,-0.85,0.71,0.92,-0.65,-0.95,-0.96,0.55,-0.51,0.97,0.86,0.95,0.93,0.94,-0.94,0.16
stock-in-trade,0.55,0.93,0.75,0.83,-0.82,-0.91,-0.79,0.87,0.66,0.85,0.80,0.85,0.81,0.61,-0.60,0.45
stockings,0.91,0.98,-0.85,0.54,-0.94,-0.97,-0.95,-0.74,-0.64,-0.92,-0.52,-0.65,-0.74,-0.96,0.88,-0.33
stole,-0.80,0.90,0.69,0.88,0.94,-0.96,-0.93,-0.74,-0.94,0.72,-0.74,0.78,0.96,-0.87,-0.89,-0.05
stomach,0.52,-0.81,0.60,0.80,0.75,-0.87,-0.87,0.51,-0.92,0.94,0.85,0.96,0.90,0.53,-0.89,0.24
stone,0.67,-0.61,0.86,0.96,0.77,-0.95,-0.96,-0.77,-0.94,0.97,0.91,0.88,0.96,0.94,-0.89,0.23
stonework,0.94,0.97,-0.61,0.82,-0.89,-0.96,-0.95,-0.50,-0.53,0.97,0.72,0.91,0.93,0.98,-0.91,0.20
stool,-0.55,-0.81,0.76,0.96,-0.91,-0.96,-0.96,0.51,-0.93,0.98,0.93,0.94,0.83,0.88,-0.86,0.13
stop,0.91,0.98,-0.63,0.97,-0.96,-0.96,-0.96,0.54,-0.92,0.94,0.81,0.89,0.96,-0.80,-0.90,0.13
stopsign,-0.58,-0.68,-0.81,0.82,-0.91,-0.94,-0.86,0.59,-0.88,0.82,0.71,0.84,0.83,-0.92,-0.66,-0.12
stopwatch,0.68,0.55,0.92,0.96,-0.51,-0.89,-0.94,0.72,-0.94,0.98,0.92,0.93,0.96,-0.54,-0.80,0.27
storage,0.80,0.98,-0.73,0.77,-0.91,-0.97,-0.95,-0.66,-0.88,0.98,0.69,0.73,0.97,0.97,-0.91,0.13
store,-0.67,-0.83,0.65,0.93,-0.90,-0.95,-0.96,0.55,-0.89,0.98,0.73,0.80,0.73,-0.64,-0.75,-0.02
storey,-0.67,0.60,0.61,0.74,-0.80,-0.95,-0.94,-0.70,-0.83,0.96,0.65,0.70,0.82,0.67,-0.82,0.07
storm,0.75,0.98,0.76,0.95,0.59,-0.97,-0.95,-0.67,-0.86,0.92,0.90,0.87,0.96,-0.81,-0.88,0.21
story,0.91,0.97,0.71,0.96,0.91,-0.96,-0.97,0.56,-0.96,0.97,0.90,0.91,0.93,0.89,-0.92,0.44
story-telling,0.96,0.97,-0.86,0.70,-0.86,-0.96,-0.95,0.64,-0.86,0.91,0.71,0.78,0.90,0.87,-0.93,0.21
storyboard,-0.56,-0.75,0.67,0.89,-0.82,-0.96,-0.95,0.85,-0.96,0.97,0.86,0.92,0.77,0.79,-0.89,0.12
stot,0.55,0.50,-0.58,0.93,-0.95,-0.89,-0.86,0.70,-0.73,0.65,0.76,0.93,0.97,-0.53,-0.88,0.11
stove,0.78,-0.76,0.92,0.94,0.61,-0.96,-0.97,-0.82,-0.96,0.98,0.94,0.90,0.92,0.67,-0.84,0.20
strait,0.77,0.93,0.86,0.96,-0.85,-0.70,0.76,0.64,0.58,0.94,0.82,0.96,0.94,-0.73,-0.86,0.45
strand,0.58,0.79,-0.57,0.96,-0.89,-0.89,-0.87,0.96,-0.78,0.97,0.90,0.89,0.97,0.95,-0.66,0.30
stranger,0.54,0.79,0.92,0.93,0.91,0.96,0.94,-0.65,-0.96,0.89,0.54,0.79,-0.52,0.65,-0.89,0.35
strap,0.62,-0.61,0.70,0.96,0.79,-0.96,-0.96,-0.65,-0.94,0.98,0.90,0.94,0.86,0.86,-0.83,0.22
strategy,0.88,0.98,0.87,0.95,0.66,-0.96,-0.97,0.58,-0.95,0.98,0.91,0.94,0.96,0.76,-0.85,0.44
straw,0.59,-0.50,0.90,0.97,0.56,-0.96,-0.96,-0.81,-0.89,0.96,0.91,0.89,0.94,0.81,-0.79,0.22
strawberry,0.91,0.81,0.85,0.97,0.72,-0.82,-0.74,-0.61,-0.92,0.97,0.93,0.90,0.96,0.94,-0.88,0.38
strawman,0.51,0.61,0.80,0.90,0.75,-0.60,0.56,0.68,-0.90,0.93,0.82,0.94,-0.62,-0.83,-0.69,0.26
stream,0.77,0.98,0.87,0.95,0.91,-0.93,-0.96,0.96,-0.65,0.98,0.89,0.94,0.97,0.74,-0.78,0.50
street,0.59,-0.82,0.61,0.92,-0.92,-0.96,-0.94,-0.58,-0.82,0.96,0.89,0.93,0.95,0.66,-0.86,0.11
streetcar,0.91,0.64,0.89,0.95,-0.67,-0.60,-0.80,0.62,-0.69,0.98,0.93,0.95,0.79,0.72,-0.76,0.40
strength,0.73,0.85,-0.57,0.81,-0.57,-0.97,-0.97,0.69,-0.76,0.96,0.80,0.96,0.94,0.95,-0.88,0.27
stress,0.80,0.97,-0.76,0.62,-0.86,-0.96,-0.96,-0.74,-0.87,0.92,0.64,0.92,0.95,0.94,-0.92,0.11
stretch,0.71,0.98,0.65,0.97,-0.94,-0.96,-0.96,0.78,-0.91,0.97,0.84,0.91,0.96,0.84,-0.65,0.37
strife,0.91,0.98,-0.72,0.70,-0.54,-0.96,-0.96,0.57,-0.84,0.95,0.69,0.53,0.96,0.90,-0.77,0.23
strike,0.93,0.98,0.80,0.96,-0.81,-0.95,-0.93,0.82,-0.65,0.98,0.81,0.92,0.95,-0.90,-0.83,0.28
string,0.75,0.89,0.90,0.96,0.93,-0.95,-0.91,0.90,-0.64,0.98,0.89,0.89,0.97,0.97,-0.83,0.50
strip,0.76,0.95,0.50,0.96,-0.90,-0.95,-0.95,0.84,-0.74,0.98,0.84,0.90,0.93,0.50,-0.86,0.34
stripe,0.63,0.50,0.51,0.97,-0.89,-0.95,-0.87,0.94,-0.81,0.97,0.85,0.96,0.96,0.83,-0.72,0.34
strobe,0.78,0.88,-0.68,0.94,-0.90,-0.95,-0.95,0.59,-0.93,0.97,0.69,0.90,0.90,-0.54,-0.87,0.13
stroke,0.55,0.98,0.86,0.97,-0.87,-0.96,-0.95,-0.72,-0.84,0.96,0.89,0.93,0.95,-0.82,-0.85,0.14
structure,0.70,0.93,0.76,0.91,-0.78,-0.97,-0.96,0.95,-0.92,0.98,0.88,0.86,0.95,0.84,-0.84,0.37
strudel,0.96,0.93,0.92,0.97,-0.86,-0.92,-0.96,0.83,-0.53,0.98,0.89,0.94,0.97,0.96,-0.65,0.45
struggle,0.93,0.98,0.90,0.97,0.50,-0.96,-0.97,0.83,-0.89,0.98,0.89,0.94,0.81,0.66,-0.91,0.44
stucco,0.82,0.52,0.52,0.93,-0.65,-0.96,-0.95,-0.79,-0.80,0.97,0.71,0.93,0.86,0.97,-0.94,0.21
